,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price,price_cat,rating_cat
0,Ultimus,Intel Celeron Dual,Intel Celeron Dual Core N4020,4,128.0,4.2,13.0,DDR4,14.0,1.0,12990,low,good
1,Ultimus,Intel Celeron Dual,Ultimus Intel Celeron Dual Core,4,128.0,4.2,13.0,DDR4,14.0,1.0,12990,low,good
2,CHUWI,Intel Celeron Dual,Dual Core 10th Gen N4020,4,128.0,3.9,5.0,DDR4,12.0,1.0,12990,low,average
3,Primebook,S Wifi MediaTek,Primebook S Wifi MediaTek MT8183,4,128.0,4.4,60.0,DDR4,12.0,1.0,13990,low,good
4,Primebook,4G Android Based,4G Android Based MediaTek MT8788,4,64.0,4.2,60.0,DDR4,12.0,1.0,13990,low,good
5,ASUS,Chromebook Intel Celeron,Intel Celeron Dual Core N4500,4,64.0,3.9,60.0,DDR4X,14.0,1.0,13990,low,average
6,Lenovo,Ideapad Intel Celeron,Intel Celeron Dual Core N4020,4,64.0,3.9,2.0,DDR4,12.0,1.0,15980,low,average
7,Ultimus,Pro Intel Celeron,Pro Intel Celeron Dual Core,8,256.0,3.9,1.0,DDR4,14.0,1.0,15990,low,average
8,Avita,SATUS Intel Celeron,Intel Celeron Dual Core N4020,4,128.0,3.9,60.0,DDR4,14.0,1.0,15990,low,average
9,AXL,Intel Celeron Dual,Celeron Dual Core 9th Gen,4,256.0,4.2,3.0,DDR4,16.0,1.0,16990,low,good
10,CHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256.0,3.9,54.0,DDR4,14.0,1.0,16990,low,average
11,AXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256.0,3.9,60.0,DDR4,16.0,1.0,16990,low,average
12,AXL,Intel Celeron Dual,AXL Intel Celeron Dual Core,4,256.0,3.9,60.0,DDR4,16.0,1.0,16990,low,average
13,CHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256.0,4.2,15.0,DDR5,14.0,1.0,18990,low,good
14,CHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256.0,4.2,15.0,DDR5,14.0,1.0,18990,low,good
15,CHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256.0,3.9,54.0,DDR4,16.0,1.0,18990,low,average
16,Infinix,Y1 Plus Neo,Quad Core 11th Gen N5100,4,128.0,4.2,60.0,DDR4X,16.0,1.0,18990,low,good
17,Lenovo,Intel Celeron Dual,Celeron Dual Core 4th Gen,8,256.0,3.9,11.0,DDR4,16.0,1.0,18990,low,average
18,Acer,One 11 Intel Celeron,Intel Celeron Dual Core N4500,8,128.0,3.9,22.0,DDR4,12.0,1.0,19982,low,average
19,ASUS,Chromebook Intel Celeron,Intel Celeron Dual Core N4500,8,128.0,3.9,68.0,DDR4X,16.0,1.0,19990,low,average
20,Avita,Pura E Intel,Core i3 10th Gen 10110U,4,256.0,4.2,13.0,DDR4,14.0,1.0,19990,low,good
21,Lenovo,V15 Intel Celeron,Celeron Dual Core 4th Gen,8,256.0,4.2,60.0,DDR4,16.0,1.0,19990,low,good
22,Lenovo,Intel Celeron Dual,Celeron Dual Core 4th Gen,8,256.0,3.9,11.0,DDR4,16.0,1.0,20890,low,average
23,HP,360 Intel Celeron,Intel Celeron Dual Core N4120,4,64.0,3.9,96.0,DDR4,14.0,1.0,20990,low,average
24,HP,G9 SERIES AMD,AMD Athlon Dual Core 3050U,4,256.0,3.9,1.0,DDR4,16.0,1.0,20990,low,average
25,HP,360 Intel Celeron,Intel Celeron Quad Core N4120,4,64.0,4.2,86.0,DDR4,14.0,1.0,20990,low,good
26,Acer,One 11 Intel Celeron,Intel Celeron Dual Core N4500,8,256.0,3.9,22.0,DDR4,12.0,1.0,21290,low,average
27,ASUS,Intel Pentium Quad,Intel Pentium Quad Core N5030,4,1000.0,3.9,60.0,DDR4,16.0,1.0,21800,low,average
28,Infinix,INBook X1 Neo Series,Intel Celeron Quad Core N5100,4,128.0,4.1,60.0,DDR4X,14.0,1.0,22890,low,good
29,Infinix,Y1 Plus Neo,Core 11th Gen JSL N5100,8,512.0,4.2,60.0,DDR4X,16.0,1.0,22990,low,good
30,Infinix,INBook X1 Neo Series,Quad Core 11th Gen N5100,4,128.0,4.2,60.0,DDR4X,14.0,1.0,22990,low,good
31,CHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256.0,4.2,15.0,DDR5,16.0,1.0,22990,low,good
32,HP,250 G9 Intel Celeron,Intel Celeron Dual Core N4500,8,256.0,4.2,13.0,DDR4,16.0,1.0,23690,low,good
33,HP,G9 AMD Ryzen,Ryzen 3 Dual Core 3250U,8,512.0,3.9,10.0,DDR4,16.0,1.0,23990,low,average
34,WINGS,Nuvobook S1 Aluminium Alloy,Core i3 11th Gen 1125G4,8,256.0,4.3,60.0,DDR4,16.0,1.0,23990,low,good
35,HP,255 G9 841W6pa,AMD Ryzen 3 Dual Core,8,512.0,3.9,15.0,DDR4,16.0,1.0,23990,low,average
36,HP,G9245 Silver 841w7paA,Core AMD Ryzen 3 3250U,8,512.0,4.0,3.0,DDR4,14.0,1.0,23999,low,average
37,Lenovo,V15 Series AMD,AMD Athlon Dual Core 7120U,8,512.0,4.2,19.0,DDR5,16.0,1.0,24162,low,good
38,Infinix,INBook X1 Neo Series,Intel Celeron Quad Core N5100,8,256.0,4.2,60.0,DDR4X,14.0,1.0,24990,low,good
39,WINGS,Nuvobook S2 Aluminium Alloy,Core i3 11th Gen 1125G4,8,512.0,4.3,60.0,DDR4,16.0,1.0,24990,low,good
40,Lenovo,Lenovo Ideapad Slim,Intel Celeron Dual Core N4020,8,256.0,4.1,60.0,DDR4,14.0,2.0,25300,low,good
41,Infinix,Inbook Y2 Plus Intel,Core i3 11th Gen 1115G4,8,512.0,4.1,60.0,DDR4X,16.0,1.0,25490,low,good
42,ASUS,Chromebook Intel Celeron,Intel Celeron Dual Core N4500,4,64.0,3.9,3.0,DDR4X,14.0,1.0,25751,low,average
43,Lenovo,IdeaPad Slim 3,Intel Celeron Dual Core N4020,8,256.0,4.2,17.0,DDR4,16.0,2.0,25890,low,good
44,Lenovo,IdeaPad Slim 3,Intel Celeron Dual Core N4020,8,256.0,3.9,60.0,DDR4,16.0,2.0,25899,low,average
45,HP,14a Intel Celeron,Intel Celeron Dual Core N4500,4,64.0,3.9,60.0,DDR4,14.0,1.0,25900,low,average
46,Lenovo,Lenovo Ideapad Slim,Intel Celeron Dual Core N4020,8,256.0,4.1,60.0,DDR4,14.0,2.0,25930,low,good
47,ASUS,VivoBook 14 (2021,Intel Celeron Dual Core N4020,4,256.0,4.1,60.0,DDR4,14.0,1.0,25990,low,good
48,Acer,AMD Ryzen 3,Ryzen 3 Dual Core 3250U,8,256.0,4.2,52.0,DDR4,14.0,1.0,25990,low,good
49,Infinix,INBook X2 Plus Intel,Core i3 11th Gen 1115G4,8,256.0,4.3,106.0,DDR4X,16.0,1.0,25990,low,good
50,Infinix,INBook X2 Plus Intel,Core i3 11th Gen 1115G4,8,256.0,4.3,106.0,DDR4X,16.0,1.0,25990,low,good
51,HP,245G9 AMD Ryzen,Core AMD Ryzen 3 3250U,8,512.0,4.2,20.0,DDR4,14.0,1.0,25999,low,good
52,HP,255 G9 AMD Ryzen,3 Dual Core R3 3250,8,512.0,4.1,24.0,DDR4,16.0,1.0,25999,low,good
53,Lenovo,IdeaPad 1 15IGL7,Dual Core 4th Gen N4020,8,256.0,4.4,1.0,DDR4,16.0,1.0,26490,low,good
54,HP,245G9 841W7PA,AMD Ryzen 3 Dual Core,8,512.0,4.1,11.0,DDR4,14.0,1.0,26600,low,good
55,Ultimus,Elite Intel Core,Intel Core i5 10th Gen,8,512.0,3.9,75.0,DDR4,14.0,1.0,26990,low,average
56,Ultimus,Elite Intel Core,Core i5 10th Gen 1035G4,8,512.0,3.9,75.0,DDR4,14.0,1.0,26990,low,average
57,ASUS,Vivobook Intel Celeron,Intel Celeron Dual Core N4020,8,512.0,3.9,60.0,DDR4,16.0,1.0,27890,low,average
58,ASUS,Vivobook Go 14,Intel Celeron Dual Core N4500,8,256.0,3.9,10.0,DDR4,14.0,1.0,27990,low,average
59,Lenovo,AMD Ryzen 3,AMD Ryzen 3 Octa Core,8,512.0,4.5,2.0,DDR4,14.0,1.0,27990,low,good
60,ZEBRONICS,Pro Series Z,Core i3 12th Gen 1215U,8,512.0,4.0,15.0,DDR4,16.0,1.0,27990,low,average
61,Lenovo,V15 AMD Ryzen,Ryzen 3 Quad Core 7320U,8,512.0,4.3,47.0,DDR5,16.0,1.0,27990,low,good
62,WINGS,Nuvobook V1 Aluminium Alloy,Core i5 11th Gen 1155G7,8,512.0,4.1,60.0,DDR4,16.0,1.0,27990,low,good
63,Infinix,X1 Slim Series,Core i3 10th Gen 1005G1,8,256.0,4.3,60.0,DDR4X,14.0,1.0,28490,low,good
64,Infinix,INBook Y1 Plus Intel,Core i3 10th Gen 1005G1,8,512.0,4.2,60.0,DDR4X,16.0,1.0,28990,low,good
65,HP,Intel Celeron Dual,Intel Celeron Dual Core N4500,8,512.0,3.9,64.0,DDR4,16.0,1.0,28990,low,average
66,ASUS,Vivobook 15 Intel Pentium,Intel Pentium Dual Core 7505,8,512.0,4.2,13.0,DDR4,16.0,1.0,28990,low,good
67,ASUS,VivoBook 15 Intel Core,Core i3 10th Gen 1005G1,4,1000.0,3.9,60.0,DDR4,16.0,1.0,28990,low,average
68,HP,Laptop 15s Intel,Dual Core Intel Celeron N4500,8,512.0,3.9,10.0,DDR4,16.0,1.0,29490,low,average
69,Lenovo,V15 AMD Ryzen,Ryzen 3 Quad Core 7320U,8,512.0,4.1,8.0,DDR5,16.0,1.0,29990,low,good
70,ASUS,Vivobook 15 Intel Core,Core i3 11th Gen 1115G4,8,256.0,4.3,60.0,DDR4,16.0,1.0,29990,low,good
71,WINGS,Nuvobook V1 Aluminium Alloy,Core i5 11th Gen 1155G7,8,512.0,4.1,60.0,DDR4,16.0,1.0,29990,low,good
72,Acer,One Intel Core,Core i3 11th Gen 1115G4,8,512.0,4.3,60.0,DDR4,14.0,1.0,29990,low,good
73,Infinix,X3 Slim Intel,Core i3 12th Gen 1215U,8,512.0,4.1,60.0,DDR4X,14.0,1.0,29990,low,good
74,Acer,Extensa 15 AMD Ryzen,Ryzen 3 Quad Core 7320U,8,512.0,4.2,24.0,DDR5,16.0,1.0,29990,low,good
