,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price
0,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
1,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
2,Colorful,Evol P-15,Core i5 12th Gen 12450H,16,512,,,DDR5,15.6,2,65640
3,Lenovo,V15 Intel Celeron,Celeron Dual Core 4th Gen,8,256,,189,DDR4,15.6,1,19990
4,ASUS,X1502ZA Intel Core,Core i5 12th Gen 1235U,8,512,3.813 ,3,DDR4,15.6,,45900
5,HP,AMD Ryzen 3,Ryzen 3 Quad Core 5300U,8,512,"4.23,375 ",353,DDR4,15.6,1,32191
6,Apple,2020 Macbook Air,2020 Macbook Air Apple M1,8,256,"4.714,230 ",180,DDR4,13.3,1,73990
7,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
8,ZEBRONICS,Pro Series Z,Core i5 12th Gen 1235U,16,512,3.8188 ,41,DDR4,15.6,1,34990
9,DELL,Intel Core i3,Core i3 12th Gen 1215U,8,512,"4.21,359 ",172,DDR4,,1,34990
10,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
11,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
12,Lenovo,V15 AMD Ryzen,Ryzen 3 Quad Core 7320U,8,512,4.3340 ,47,DDR5,,1,27990
13,Lenovo,IdeaPad Slim 3,Core i3 12th Gen 1215U,8,512,4.2683 ,47,DDR4,15.6,1,35990
14,HP,245G9 AMD Ryzen,Core AMD Ryzen 3 3250U,8,512,4.2428 ,20,DDR4,14,1,25999
15,DELL,Intel Core i3,Core i3 12th Gen 1215U,8,512,4.2775 ,92,DDR4,15.6,1,35490
16,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
17,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
18,HP,255 G9 AMD Ryzen,3 Dual Core R3 3250,8,512,4.1287 ,24,DDR4,15.6,1,25999
